unbroke	kingrichardii@2925
yours	antonyandcleopatra@5613, antonyandcleopatra@2810, antonyandcleopatra@1232, antonyandcleopatra@2805, antonyandcleopatra@3122, antonyandcleopatra@5584, antonyandcleopatra@5612, antonyandcleopatra@2806, antonyandcleopatra@5527, antonyandcleopatra@5656, antonyandcleopatra@1214, twelfthnight@815, twelfthnight@2115, twelfthnight@1009, twelfthnight@2138, twelfthnight@2115, twelfthnight@815, twelfthnight@2068, tempest@1439, tempest@3389, tempest@2898, tempest@1891, allswellthatendswell@1232, allswellthatendswell@4398, allswellthatendswell@4312, allswellthatendswell@3619, allswellthatendswell@4511, allswellthatendswell@923, allswellthatendswell@4290, allswellthatendswell@4408, allswellthatendswell@2445, allswellthatendswell@4382, allswellthatendswell@520, allswellthatendswell@4232, sonnets@2048, sonnets@2056, sonnets@2056, sonnets@302, sonnets@223, 3kinghenryvi@579, 3kinghenryvi@4398, 3kinghenryvi@2730, 3kinghenryvi@2787, kinghenryv@4575, kinghenryv@4453, kinghenryv@4453, kinghenryv@3695, kinghenryv@1023, kinghenryv@2712, kinghenryv@1022, kinghenryv@560, kinghenryv@1024, kinghenryv@2383, titusandronicus@1223, titusandronicus@662, comedyoferrors@368, comedyoferrors@364, twogentlemenofverona@3601, twogentlemenofverona@682, twogentlemenofverona@1304, twogentlemenofverona@799, twogentlemenofverona@2954, twogentlemenofverona@2712, twogentlemenofverona@424, twogentlemenofverona@831, measureforemeasure@4281, measureforemeasure@3315, measureforemeasure@4332, measureforemeasure@3257, measureforemeasure@4332, midsummersnightsdream@1188, midsummersnightsdream@1658, midsummersnightsdream@979, macbeth@3728, macbeth@2909, macbeth@1706, coriolanus@1351, coriolanus@2269, coriolanus@3985, coriolanus@2670, coriolanus@785, coriolanus@3330, coriolanus@531, coriolanus@1747, coriolanus@3090, coriolanus@5242, coriolanus@3247, timonofathens@2022, timonofathens@1125, timonofathens@1376, timonofathens@2022, timonofathens@960, timonofathens@1900, timonofathens@3321, rapeoflucrece@11, rapeoflucrece@12, rapeoflucrece@11, muchadoaboutnothing@3651, muchadoaboutnothing@3724, muchadoaboutnothing@774, muchadoaboutnothing@2312, muchadoaboutnothing@1080, muchadoaboutnothing@2308, muchadoaboutnothing@248, muchadoaboutnothing@2897, muchadoaboutnothing@244, romeoandjuliet@289, romeoandjuliet@1132, romeoandjuliet@1827, romeoandjuliet@889, kingrichardii@2457, kingrichardii@2457, kingrichardii@2887, juliuscaesar@2050, juliuscaesar@2051, juliuscaesar@1270, juliuscaesar@2052, juliuscaesar@2854, juliuscaesar@428, juliuscaesar@3199, juliuscaesar@2050, juliuscaesar@427, 2kinghenryvi@3047, 2kinghenryvi@657, kinglear@261, kinglear@1397, kinglear@5281, kinglear@370, troilusandcressida@1723, troilusandcressida@2916, troilusandcressida@2916, troilusandcressida@2966, merrywivesofwindsor@1539, periclesprinceoftyre@1233, periclesprinceoftyre@3377, periclesprinceoftyre@2138, 2kinghenryiv@3286, 2kinghenryiv@517, 2kinghenryiv@1347, 2kinghenryiv@1289, 2kinghenryiv@4286, 2kinghenryiv@2997, 2kinghenryiv@1526, 2kinghenryiv@1527, 2kinghenryiv@3894, 2kinghenryiv@3350, asyoulikeit@332, asyoulikeit@122, asyoulikeit@3047, asyoulikeit@3964, asyoulikeit@1097, asyoulikeit@3843, asyoulikeit@3968, kingrichardiii@2950, kingrichardiii@1861, kingrichardiii@2322, kingrichardiii@2486, kingrichardiii@4483, kingrichardiii@1173, kingrichardiii@3506, kingrichardiii@4482, kingrichardiii@1002, kingrichardiii@1732, kingrichardiii@3777, kingrichardiii@1737, kingrichardiii@198, kingrichardiii@2782, kingrichardiii@1743, othello@596, othello@3627, othello@3104, othello@4083, othello@1985, merchantofvenice@2852, merchantofvenice@2011, merchantofvenice@2015, merchantofvenice@2012, merchantofvenice@2187, merchantofvenice@1482, merchantofvenice@1534, merchantofvenice@2015, merchantofvenice@1390, merchantofvenice@2192, merchantofvenice@2011, merchantofvenice@3728, merchantofvenice@161, merchantofvenice@2185, merchantofvenice@2013, merchantofvenice@2223, 1kinghenryvi@3307, 1kinghenryvi@2931, 1kinghenryvi@2528, 1kinghenryvi@3199, hamlet@2604, hamlet@2161, hamlet@5665, hamlet@3733, hamlet@5122, winterstale@4475, winterstale@196, winterstale@1381, winterstale@1425, winterstale@1760, winterstale@3109, winterstale@254, winterstale@648, winterstale@645, winterstale@2697, winterstale@2697, winterstale@422, winterstale@321, winterstale@1449, winterstale@1494, loveslabourslost@3980, loveslabourslost@864, loveslabourslost@4119, loveslabourslost@945, loveslabourslost@2476, loveslabourslost@1092, loveslabourslost@4118, loveslabourslost@3486, loveslabourslost@2912, 1kinghenryiv@2341, 1kinghenryiv@2867, 1kinghenryiv@2557, cymbeline@1552, cymbeline@4853, cymbeline@5299, cymbeline@4576, cymbeline@682, cymbeline@1860, cymbeline@659, cymbeline@1616, cymbeline@4959, cymbeline@765, cymbeline@4007, cymbeline@762, cymbeline@2201, cymbeline@3163, cymbeline@4470, cymbeline@1222, tamingoftheshrew@4114, tamingoftheshrew@4055, tamingoftheshrew@3993, loverscomplaint@261, kingjohn@1507, kingjohn@859, kingjohn@3354, kingjohn@418, kingjohn@2220, kingjohn@2799, kingjohn@2228, kingjohn@336, kingjohn@1343, kingjohn@294, kinghenryviii@2470, kinghenryviii@3138, kinghenryviii@2823
yourself	kinghenryviii@2182, kinghenryviii@1675, kinghenryviii@2459, kinghenryviii@2868, kinghenryviii@2035, kinghenryviii@3910, kinghenryviii@372, kinghenryviii@356, kinghenryviii@1877, kinghenryviii@366, kinghenryviii@4154, kinghenryviii@535, merrywivesofwindsor@1804, merrywivesofwindsor@2532, merrywivesofwindsor@2399, merrywivesofwindsor@2470, merrywivesofwindsor@1568, merrywivesofwindsor@508, merrywivesofwindsor@1632, merrywivesofwindsor@110, merrywivesofwindsor@1791, merrywivesofwindsor@503, merrywivesofwindsor@2734, merrywivesofwindsor@3155, macbeth@836, macbeth@2670, 3kinghenryvi@3041, 3kinghenryvi@3643, 3kinghenryvi@2960, 3kinghenryvi@3223, 3kinghenryvi@2694, twelfthnight@1084, twelfthnight@815, twelfthnight@2313, twelfthnight@3751, twelfthnight@1288, twelfthnight@249, twelfthnight@149, twelfthnight@144, antonyandcleopatra@5524, antonyandcleopatra@1547, antonyandcleopatra@3688, antonyandcleopatra@5416, antonyandcleopatra@1221, antonyandcleopatra@5424, antonyandcleopatra@4728, antonyandcleopatra@5579, antonyandcleopatra@3134, antonyandcleopatra@1505, antonyandcleopatra@1806, antonyandcleopatra@5575, antonyandcleopatra@1806, sonnets@1418, sonnets@222, sonnets@285, sonnets@285, sonnets@997, sonnets@949, sonnets@228, sonnets@223, sonnets@284, sonnets@275, tempest@1928, tempest@885, tempest@1872, tempest@114, tempest@1213, allswellthatendswell@2435, allswellthatendswell@942, allswellthatendswell@3861, allswellthatendswell@1445, allswellthatendswell@4134, allswellthatendswell@4130, allswellthatendswell@1784, allswellthatendswell@657, allswellthatendswell@774, midsummersnightsdream@216, midsummersnightsdream@825, midsummersnightsdream@2133, titusandronicus@2539, titusandronicus@244, kinghenryv@2435, kinghenryv@4108, kinghenryv@1383, kinghenryv@3924, kinghenryv@446, kinghenryv@1753, kinghenryv@3243, measureforemeasure@2863, measureforemeasure@3575, measureforemeasure@3658, measureforemeasure@1703, measureforemeasure@3571, measureforemeasure@3653, measureforemeasure@2659, measureforemeasure@2187, measureforemeasure@2706, measureforemeasure@2086, measureforemeasure@3080, comedyoferrors@1558, comedyoferrors@1459, comedyoferrors@2542, comedyoferrors@1648, comedyoferrors@2321, comedyoferrors@1146, twogentlemenofverona@886, twogentlemenofverona@2816, twogentlemenofverona@1250, twogentlemenofverona@264, twogentlemenofverona@1281, twogentlemenofverona@905, twogentlemenofverona@896, troilusandcressida@3262, troilusandcressida@3308, troilusandcressida@4715, troilusandcressida@4075, troilusandcressida@2985, troilusandcressida@1054, juliuscaesar@1322, juliuscaesar@769, juliuscaesar@342, juliuscaesar@2901, juliuscaesar@1311, juliuscaesar@1067, juliuscaesar@340, juliuscaesar@2928, juliuscaesar@2930, juliuscaesar@2896, juliuscaesar@3530, juliuscaesar@343, coriolanus@606, coriolanus@2996, coriolanus@4774, coriolanus@5244, coriolanus@713, coriolanus@2412, coriolanus@3342, coriolanus@3406, coriolanus@1315, timonofathens@1348, timonofathens@3375, kingrichardii@2139, kingrichardii@968, muchadoaboutnothing@3278, muchadoaboutnothing@585, muchadoaboutnothing@528, muchadoaboutnothing@2494, muchadoaboutnothing@3200, muchadoaboutnothing@3159, muchadoaboutnothing@3157, muchadoaboutnothing@3537, muchadoaboutnothing@3600, romeoandjuliet@3268, romeoandjuliet@2169, romeoandjuliet@1024, romeoandjuliet@3987, romeoandjuliet@774, kinglear@758, kinglear@1309, kinglear@5258, kinglear@2284, kinglear@1190, kinglear@1564, kinglear@733, kinglear@1570, kinglear@430, 2kinghenryvi@1372, 2kinghenryvi@2098, 2kinghenryvi@2092, 2kinghenryvi@1213, 2kinghenryvi@761, kingjohn@189, kingjohn@3663, kingjohn@1508, kingjohn@2249, kingjohn@2800, kingjohn@2222, 1kinghenryvi@3235, 1kinghenryvi@1608, 1kinghenryvi@3235, asyoulikeit@3605, asyoulikeit@2683, asyoulikeit@1928, asyoulikeit@550, asyoulikeit@877, asyoulikeit@3833, asyoulikeit@551, asyoulikeit@852, asyoulikeit@2294, periclesprinceoftyre@2316, periclesprinceoftyre@355, periclesprinceoftyre@484, periclesprinceoftyre@265, periclesprinceoftyre@484, periclesprinceoftyre@1448, 2kinghenryiv@1681, 2kinghenryiv@1681, 2kinghenryiv@1716, 2kinghenryiv@2702, 2kinghenryiv@721, 2kinghenryiv@1790, 2kinghenryiv@4290, 2kinghenryiv@3653, merchantofvenice@2000, merchantofvenice@248, merchantofvenice@2298, kingrichardiii@4362, kingrichardiii@1090, kingrichardiii@1709, kingrichardiii@4744, kingrichardiii@4744, othello@3523, othello@3529, othello@1980, othello@4286, othello@4242, othello@248, othello@623, othello@107, othello@4295, othello@790, othello@1930, othello@4819, othello@2530, othello@3490, othello@2038, othello@4321, loveslabourslost@2801, loveslabourslost@3279, loveslabourslost@1754, loveslabourslost@1059, loveslabourslost@242, loveslabourslost@240, hamlet@3865, hamlet@902, hamlet@91, hamlet@885, hamlet@1919, hamlet@889, hamlet@585, hamlet@4832, hamlet@904, hamlet@1521, hamlet@5644, hamlet@3742, hamlet@873, hamlet@4391, hamlet@4049, winterstale@3347, winterstale@711, winterstale@3804, winterstale@751, winterstale@3956, winterstale@2624, winterstale@3633, winterstale@1755, winterstale@3511, winterstale@2606, winterstale@1469, tamingoftheshrew@1061, tamingoftheshrew@1267, tamingoftheshrew@536, tamingoftheshrew@2192, tamingoftheshrew@1712, tamingoftheshrew@3598, tamingoftheshrew@3920, 1kinghenryiv@2244, 1kinghenryiv@201, 1kinghenryiv@3764, 1kinghenryiv@3130, 1kinghenryiv@3764, 1kinghenryiv@434, 1kinghenryiv@3522, cymbeline@4681, cymbeline@351, cymbeline@2725, cymbeline@308, cymbeline@1556, cymbeline@260, cymbeline@2719, cymbeline@4124
yourselves	kinglear@2358, antonyandcleopatra@1616, merrywivesofwindsor@4206, kinghenryviii@1559, kinghenryviii@4343, twelfthnight@2622, macbeth@1325, macbeth@1761, macbeth@1770, 3kinghenryvi@4076, kinghenryv@353, kinghenryv@1793, kinghenryv@1809, titusandronicus@956, allswellthatendswell@235, allswellthatendswell@2824, midsummersnightsdream@225, midsummersnightsdream@1174, midsummersnightsdream@429, timonofathens@950, timonofathens@853, timonofathens@3276, timonofathens@1946, timonofathens@3929, timonofathens@1239, timonofathens@2373, rapeoflucrece@1235, coriolanus@3658, coriolanus@2967, coriolanus@183, coriolanus@2444, coriolanus@319, coriolanus@300, coriolanus@212, coriolanus@3583, coriolanus@1544, troilusandcressida@5216, juliuscaesar@2525, juliuscaesar@3108, juliuscaesar@1245, juliuscaesar@2566, juliuscaesar@3030, juliuscaesar@1246, muchadoaboutnothing@3050, muchadoaboutnothing@3865, kingrichardii@3068, kingrichardii@3486, kingrichardii@681, 1kinghenryiv@731, 1kinghenryiv@385, 1kinghenryvi@4128, 1kinghenryvi@4088, 1kinghenryvi@2826, 1kinghenryvi@2804, 2kinghenryvi@3917, 2kinghenryvi@4332, 2kinghenryvi@4511, 2kinghenryvi@255, 2kinghenryvi@4504, 2kinghenryvi@3520, 2kinghenryvi@4100, 2kinghenryiv@4779, asyoulikeit@3994, tamingoftheshrew@1442, tamingoftheshrew@2369, kingrichardiii@1108, kingrichardiii@1630, kingrichardiii@3666, winterstale@1191, winterstale@3377, winterstale@1096, loveslabourslost@3553, loveslabourslost@3205, hamlet@2676
youth	hamlet@1484, hamlet@1170, hamlet@4771, hamlet@816, hamlet@2696, hamlet@1625, hamlet@5275, hamlet@4770, hamlet@3644, hamlet@1453, hamlet@2049, hamlet@5033, hamlet@1900, hamlet@1238, hamlet@779, muchadoaboutnothing@2602, muchadoaboutnothing@1601, muchadoaboutnothing@3262, muchadoaboutnothing@710, muchadoaboutnothing@1894, muchadoaboutnothing@3591, muchadoaboutnothing@712, titusandronicus@547, titusandronicus@1584, titusandronicus@2149, titusandronicus@1788, titusandronicus@2334, titusandronicus@2490, cymbeline@5151, cymbeline@5184, cymbeline@3348, cymbeline@304, cymbeline@3128, cymbeline@3345, cymbeline@3156, cymbeline@2186, cymbeline@3397, cymbeline@3149, cymbeline@3930, cymbeline@2724, cymbeline@3197, cymbeline@3963, cymbeline@4916, various@8, various@323, various@218, various@210, various@165, midsummersnightsdream@888, midsummersnightsdream@1592, midsummersnightsdream@678, midsummersnightsdream@119, midsummersnightsdream@160, midsummersnightsdream@2707, midsummersnightsdream@88, allswellthatendswell@4293, allswellthatendswell@1450, allswellthatendswell@3986, allswellthatendswell@672, allswellthatendswell@2990, allswellthatendswell@669, allswellthatendswell@1528, allswellthatendswell@775, allswellthatendswell@3649, allswellthatendswell@433, measureforemeasure@1881, measureforemeasure@3423, measureforemeasure@1050, measureforemeasure@1879, measureforemeasure@1495, measureforemeasure@1972, measureforemeasure@463, measureforemeasure@502, measureforemeasure@509, merrywivesofwindsor@1798, merrywivesofwindsor@2187, kinglear@5182, kinglear@1298, antonyandcleopatra@1919, antonyandcleopatra@3602, antonyandcleopatra@4190, antonyandcleopatra@4457, antonyandcleopatra@822, comedyoferrors@2923, kinghenryv@1315, kinghenryv@199, kinghenryv@2005, kinghenryv@680, kinghenryv@1442, kinghenryv@442, kinghenryv@2011, kinghenryv@594, venusandadonis@486, venusandadonis@1336, sonnets@125, sonnets@1879, sonnets@2349, sonnets@632, sonnets@191, sonnets@376, sonnets@37, sonnets@267, sonnets@708, sonnets@1030, sonnets@932, sonnets@1670, sonnets@1635, sonnets@1634, sonnets@1252, sonnets@265, 3kinghenryvi@4374, 3kinghenryvi@64, 3kinghenryvi@1056, 3kinghenryvi@2229, 3kinghenryvi@3482, twelfthnight@2869, twelfthnight@2252, twelfthnight@1341, twelfthnight@3561, twelfthnight@2782, twelfthnight@2720, twelfthnight@492, twelfthnight@3650, twelfthnight@2306, twelfthnight@976, twelfthnight@2716, twelfthnight@2976, twelfthnight@475, twelfthnight@2196, twelfthnight@2247, twelfthnight@2265, twelfthnight@2161, twelfthnight@962, twelfthnight@2113, twelfthnight@2438, twelfthnight@2300, twelfthnight@2091, twelfthnight@911, twelfthnight@2160, macbeth@2071, rapeoflucrece@324, rapeoflucrece@389, rapeoflucrece@1131, rapeoflucrece@1660, romeoandjuliet@4427, romeoandjuliet@4389, romeoandjuliet@1661, romeoandjuliet@4387, romeoandjuliet@4445, romeoandjuliet@1077, twogentlemenofverona@579, twogentlemenofverona@3115, twogentlemenofverona@366, twogentlemenofverona@2648, twogentlemenofverona@2506, twogentlemenofverona@1448, twogentlemenofverona@3101, twogentlemenofverona@1663, twogentlemenofverona@547, twogentlemenofverona@2964, twogentlemenofverona@558, twogentlemenofverona@60, twogentlemenofverona@3118, twogentlemenofverona@66, twogentlemenofverona@1777, timonofathens@3682, timonofathens@3461, timonofathens@2990, timonofathens@2736, timonofathens@338, timonofathens@2496, troilusandcressida@1123, troilusandcressida@5394, troilusandcressida@1571, troilusandcressida@662, troilusandcressida@4815, troilusandcressida@4038, troilusandcressida@689, troilusandcressida@1126, troilusandcressida@2628, troilusandcressida@3924, glossary@1158, coriolanus@612, coriolanus@822, loveslabourslost@895, loveslabourslost@2511, loveslabourslost@2246, loveslabourslost@2745, loveslabourslost@2971, 2kinghenryvi@3818, 2kinghenryvi@4681, 2kinghenryvi@1299, 2kinghenryvi@248, 2kinghenryvi@4768, kingrichardii@1708, kingrichardii@987, kingrichardii@966, kingrichardii@976, kingrichardii@840, kingrichardii@1042, merchantofvenice@378, merchantofvenice@3689, merchantofvenice@2915, merchantofvenice@2258, merchantofvenice@2563, merchantofvenice@343, merchantofvenice@3404, merchantofvenice@259, kingjohn@2380, kingjohn@3188, kingjohn@2369, 1kinghenryvi@3390, 1kinghenryvi@3302, 1kinghenryvi@1745, 1kinghenryvi@4306, 1kinghenryvi@3233, 1kinghenryiv@194, 1kinghenryiv@2754, 1kinghenryiv@3956, 1kinghenryiv@1990, 1kinghenryiv@2064, 1kinghenryiv@1188, 1kinghenryiv@4267, 1kinghenryiv@3891, 1kinghenryiv@2630, winterstale@4139, winterstale@2170, winterstale@2737, winterstale@2681, winterstale@2098, winterstale@3078, 2kinghenryiv@3577, 2kinghenryiv@604, 2kinghenryiv@714, 2kinghenryiv@3845, 2kinghenryiv@2257, 2kinghenryiv@1532, 2kinghenryiv@3508, 2kinghenryiv@2866, 2kinghenryiv@726, 2kinghenryiv@4314, 2kinghenryiv@711, 2kinghenryiv@2765, loverscomplaint@121, loverscomplaint@169, loverscomplaint@17, loverscomplaint@16, loverscomplaint@207, loverscomplaint@169, othello@739, othello@987, othello@1875, othello@296, othello@455, kingrichardiii@4710, kingrichardiii@4579, kingrichardiii@1038, kingrichardiii@5297, asyoulikeit@1104, asyoulikeit@546, asyoulikeit@2749, asyoulikeit@2759, asyoulikeit@1060, asyoulikeit@3377, asyoulikeit@2324, asyoulikeit@3165, asyoulikeit@2236, asyoulikeit@2578, asyoulikeit@530, asyoulikeit@2296, asyoulikeit@2691, asyoulikeit@3233, asyoulikeit@1226, asyoulikeit@514, asyoulikeit@3278, asyoulikeit@3359, asyoulikeit@625, asyoulikeit@2351, asyoulikeit@2936, asyoulikeit@3426, asyoulikeit@1140, asyoulikeit@2250, asyoulikeit@2807, asyoulikeit@2339, asyoulikeit@3636, asyoulikeit@2306, tamingoftheshrew@631, tamingoftheshrew@1787
youthful	3kinghenryvi@4283, allswellthatendswell@1378, titusandronicus@1603, sonnets@262, sonnets@1076, merrywivesofwindsor@1963, juliuscaesar@1097, troilusandcressida@1620, troilusandcressida@1034, rapeoflucrece@1710, romeoandjuliet@2097, romeoandjuliet@3674, romeoandjuliet@3348, twogentlemenofverona@1870, twogentlemenofverona@2489, twogentlemenofverona@570, twogentlemenofverona@1785, asyoulikeit@1160, asyoulikeit@1680, kingjohn@2000, comedyoferrors@2385, loverscomplaint@93, merchantofvenice@3559, kingrichardii@561, kingrichardii@547, 1kinghenryvi@4335, 1kinghenryvi@3792, 1kinghenryvi@3276, 1kinghenryiv@3259, 2kinghenryiv@3266, 2kinghenryiv@667, 2kinghenryiv@3985
youths	kinghenryviii@4490, macbeth@3324, troilusandcressida@3610, juliuscaesar@1145, periclesprinceoftyre@2492
zanies	twelfthnight@657
zany	loveslabourslost@3609
zeal	loveslabourslost@3695, loveslabourslost@2286, loveslabourslost@3694, loveslabourslost@2422, muchadoaboutnothing@1242, kinghenryv@975, 2kinghenryiv@3143, 2kinghenryiv@4699, 2kinghenryiv@2073, timonofathens@3369, timonofathens@1809, titusandronicus@684, 3kinghenryvi@3954, troilusandcressida@3531, troilusandcressida@3676, winterstale@3967, kinghenryviii@3168, kinghenryviii@1499, twogentlemenofverona@1416, 1kinghenryiv@4288, 1kinghenryiv@3536, 2kinghenryvi@2137, kingjohn@1056, kingjohn@763, kingjohn@3053, kingjohn@2029, kingjohn@1168, kingrichardiii@3454, kingrichardiii@1743, kingrichardiii@3572, merchantofvenice@3745, kingrichardii@157, kingrichardii@3606
zealous	allswellthatendswell@2315, sonnets@465, loveslabourslost@3024, kingjohn@1004, kingjohn@474, kingrichardiii@3440
zeals	timonofathens@746
zed	kinglear@1843
zenith	tempest@468
zephyrs	cymbeline@3615
zir	kinglear@4502, kinglear@4489
zo	kinglear@4495
zodiac	titusandronicus@802
zodiacs	measureforemeasure@446
zone	hamlet@5374
zounds	1kinghenryiv@1020, 1kinghenryiv@4370, kingrichardiii@3583
zwaggered	kinglear@4494
